display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
Somewhere in Queens,R,0,Glenn Kenny,‘Somewhere in Queens’ Review: Rooting for the Underdog,"Ray Romano plumbed the absurdities of family life on his sitcom “Everybody Loves Raymond.” For this, his feature directing debut, he sticks to an Italian American milieu.",2023-04-20,2023-04-21,2023-04-20 11:02:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/20/movies/somewhere-in-queens-review.html', 'suggested_link_text': 'Read the New York Times Review of Somewhere in Queens'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/18/multimedia/somewhere1-vfzk/somewhere1-vfzk-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
The Pope's Exorcist,R,0,Elisabeth Vincentelli,‘The Pope’s Exorcist’ Review: A Head-Spinning Genre Mash-Up,The buddy-priest action-comedy-horror hybrid we didn’t know we wanted has finally landed.,2023-04-14,2023-04-14,2023-04-14 15:38:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/14/movies/the-popes-exorcist-review.html', 'suggested_link_text': ""Read the New York Times Review of The Pope's Exorcist""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/15/multimedia/14popes-exorcist-review-ktfz/14popes-exorcist-review-ktfz-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
The Last Kingdom: Seven Kings Must Die,TV-MA,0,Robert Daniels,‘The Last Kingdom: Seven Kings Must Die’ Review: Flesh Wounds,Soldiers face off over the fate of England in this overbearingly glib costume drama.,2023-04-14,2023-04-14,2023-04-14 07:02:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/14/movies/the-last-kingdom-seven-kings-must-die-review.html', 'suggested_link_text': 'Read the New York Times Review of The Last Kingdom: Seven Kings Must Die'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/13/multimedia/13last-kingdom-review-gpjf/13last-kingdom-review-gpjf-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Renfield,R,1,Manohla Dargis,"‘Renfield’ Review: Dracula, Worst Boss Ever","Nicholas Hoult stars as the long-suffering servant to Nicolas Cage’s Count Dracula in this highly absurd, entertaining comedy.",2023-04-13,2023-04-14,2023-04-13 18:56:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/13/movies/renfield-review-dracula-nicolas-cage.html', 'suggested_link_text': 'Read the New York Times Review of Renfield'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/13/multimedia/13renfield-review-bqhm/13renfield-review-bqhm-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
De humani corporis fabrica,,1,Nicolas Rapold,‘De Humani Corporis Fabrica’ Review: Showing What We’re Made Of,"This eye-opening film from Véréna Paravel and Lucien Castaing-Taylor immerses us in the landscapes and textures of the human body, as encountered in French hospitals.",2023-04-13,,2023-04-13 13:16:06,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/13/movies/de-humani-corporis-fabrica-review.html', 'suggested_link_text': 'Read the New York Times Review of De humani corporis fabrica'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/14/multimedia/13de-humani1-gphm/13de-humani1-gphm-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Personality Crisis: One Night Only,,0,Lisa Kennedy,‘Personality Crisis: One Night Only’ Review: New York Droll,"David Johansen, once the lead singer for the New York Dolls, proves a first-rate raconteur in this documentary co-directed by Martin Scorsese and David Tedeschi.",2023-04-13,,2023-04-13 19:34:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/13/movies/personality-crisis-one-night-only-review.html', 'suggested_link_text': 'Read the New York Times Review of Personality Crisis: One Night Only'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/13/multimedia/13personality-crisis-review-lkwc/13personality-crisis-review-lkwc-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Hilma,,0,Amy Nicholson,‘Hilma’ Review: An Artist With Spirit,"The film gets off to a rough start, but the director wins the audience back with his sincere connection to the artist Hilma af Klint.",2023-04-13,,2023-04-13 18:08:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/13/movies/hilma-review.html', 'suggested_link_text': 'Read the New York Times Review of Hilma'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/14/multimedia/13hilma-review-pwzj/13hilma-review-pwzj-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Suzume,PG,0,Maya Phillips,"‘Suzume’ Review: Gods, Spells and Instagram Posts","Makoto Shinkai’s latest animated film, about a girl who accidentally unleashes chaos over Japan, is at once mythical and thoroughly modern.",2023-04-13,2023-04-14,2023-04-13 17:07:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/13/movies/suzume-review-makoto-shinkai.html', 'suggested_link_text': 'Read the New York Times Review of Suzume'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/13/multimedia/suzume-ktpm/suzume-ktpm-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Passion,,0,Austin Considine,‘Passion’ Review: Friends Fall Apart,"Belatedly making its U.S. debut, a 2008 film from Ryusuke Hamaguchi (“Drive My Car”) offers new insights into his abiding themes and sensibilities.",2023-04-13,,2023-04-13 17:04:43,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/13/movies/passion-review.html', 'suggested_link_text': 'Read the New York Times Review of Passion'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/13/multimedia/passion1-qmbz/passion1-qmbz-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Wild Life,,0,Amy Nicholson,‘Wild Life’ Review: Their Land Is Our Land,This documentary looks at the efforts of Kristine McDivitt Tompkins and Douglas Tompkins to preserve stretches of land in Argentina and Chile.,2023-04-13,,2023-04-13 16:53:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/13/movies/wild-life-review.html', 'suggested_link_text': 'Read the New York Times Review of Wild Life'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/14/multimedia/wild-life-1-lmbh/wild-life-1-lmbh-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Honorable Men,,0,Ben Kenigsberg,‘Honorable Men’ Review: The Trials of a Prime Minister,"It would take an eight- or 10-hour mini-series to deal with all the issues this documentary raises about the legal travails of Ehud Olmert, the former prime minister of Israel.",2023-04-13,,2023-04-13 16:07:55,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/13/movies/honorable-men-review.html', 'suggested_link_text': 'Read the New York Times Review of Honorable Men'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/13/multimedia/honorable1-plqg/honorable1-plqg-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Human Flowers of Flesh,,0,Natalia Winkelman,‘Human Flowers of Flesh’ Review: The Life Aquatic,This contribution to slow cinema observes the quiet routines of a captain and her crew as they sail a small boat across the Mediterranean.,2023-04-13,,2023-04-13 14:26:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/13/movies/human-flowers-of-flesh-review.html', 'suggested_link_text': 'Read the New York Times Review of Human Flowers of Flesh'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/13/multimedia/13human-flowers-of-flesh-review2-hcbv/13human-flowers-of-flesh-review2-hcbv-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
